amount,created_at,currency,customer_id,ingested_at,invoice_id,merchant_id,order_id,original,reference_id,source,source_record_id
48447.50,2026-01-05T09:39:00+00:00,INR,CUS_94518,2026-01-05T09:30:00+00:00,INV_000001,MCH_ZERO,ORD_000001,"{'amount': '48447.50', 'merchant': 'Zero Fee Internal Rail'}",REF_000001,orders.csv,orders:ORD_000001
16311.25,2026-01-05T09:49:00+00:00,INR,CUS_22015,2026-01-05T09:30:00+00:00,INV_000002,MCH_SWIFT,ORD_000002,"{'amount': '16311.25', 'merchant': 'SwiftKart Marketplace'}",REF_000002,orders.csv,orders:ORD_000002
74300.00,2026-01-05T09:55:00+00:00,INR,CUS_18992,2026-01-05T09:30:00+00:00,INV_000003,MCH_SWIFT,ORD_000003,"{'amount': '74300.00', 'merchant': 'SwiftKart Marketplace'}",REF_000003,orders.csv,orders:ORD_000003
19264.00,2026-01-05T10:07:00+00:00,INR,CUS_80807,2026-01-05T09:30:00+00:00,INV_000005,MCH_CAFE,ORD_000005,"{'amount': '19264.00', 'merchant': 'Kaveri Coffee Roasters'}",REF_000005,orders.csv,orders:ORD_000005
2247.00,2026-01-05T10:16:00+00:00,INR,CUS_41186,2026-01-05T09:30:00+00:00,INV_000006,MCH_SWIFT,ORD_000006,"{'amount': '2247.00', 'merchant': 'SwiftKart Marketplace'}",REF_000006,orders.csv,orders:ORD_000006
55476.50,2026-01-05T10:24:00+00:00,INR,CUS_24896,2026-01-05T09:30:00+00:00,INV_000007,MCH_SWIFT,ORD_000007,"{'amount': '55476.50', 'merchant': 'SwiftKart Marketplace'}",REF_000007,orders.csv,orders:ORD_000007
67571.50,2026-01-05T10:29:00+00:00,INR,CUS_24293,2026-01-05T09:30:00+00:00,INV_000008,MCH_CAFE,ORD_000008,"{'amount': '67571.50', 'merchant': 'Kaveri Coffee Roasters'}",REF_000008,orders.csv,orders:ORD_000008
86663.50,2026-01-05T10:36:00+00:00,INR,CUS_49535,2026-01-05T09:30:00+00:00,INV_000009,MCH_TRAVEL,ORD_000009,"{'amount': '86663.50', 'merchant': 'Vista Travel Desk'}",REF_000009,orders.csv,orders:ORD_000009
56172.75,2026-01-05T10:43:00+00:00,INR,CUS_24150,2026-01-05T09:30:00+00:00,INV_000010,MCH_SAAS,ORD_000010,"{'amount': '56172.75', 'merchant': 'Nila SaaS Systems'}",REF_000010,orders.csv,orders:ORD_000010
80030.00,2026-01-05T10:48:00+00:00,INR,CUS_18609,2026-01-05T09:30:00+00:00,INV_000011,MCH_CAFE,ORD_000011,"{'amount': '80030.00', 'merchant': 'Kaveri Coffee Roasters'}",REF_000011,orders.csv,orders:ORD_000011
69841.00,2026-01-05T10:58:00+00:00,INR,CUS_69469,2026-01-05T09:30:00+00:00,INV_000012,MCH_HEALTH,ORD_000012,"{'amount': '69841.00', 'merchant': 'Prana Health Online'}",REF_000012,orders.csv,orders:ORD_000012
85616.50,2026-01-05T11:04:00+00:00,INR,CUS_38183,2026-01-05T09:30:00+00:00,INV_000013,MCH_TRAVEL,ORD_000013,"{'amount': '85616.50', 'merchant': 'Vista Travel Desk'}",REF_000013,orders.csv,orders:ORD_000013
59741.25,2026-01-05T11:13:00+00:00,INR,CUS_64524,2026-01-05T09:30:00+00:00,INV_000014,MCH_CAFE,ORD_000014,"{'amount': '59741.25', 'merchant': 'Kaveri Coffee Roasters'}",REF_000014,orders.csv,orders:ORD_000014
87477.00,2026-01-05T11:16:00+00:00,INR,CUS_59060,2026-01-05T09:30:00+00:00,INV_000015,MCH_CAFE,ORD_000015,"{'amount': '87477.00', 'merchant': 'Kaveri Coffee Roasters'}",REF_000015,orders.csv,orders:ORD_000015
12519.25,2026-01-05T11:27:00+00:00,INR,CUS_22656,2026-01-05T09:30:00+00:00,INV_000016,MCH_ZERO,ORD_000016,"{'amount': '12519.25', 'merchant': 'Zero Fee Internal Rail'}",REF_000016,orders.csv,orders:ORD_000016
73908.50,2026-01-05T11:34:00+00:00,INR,CUS_53207,2026-01-05T09:30:00+00:00,INV_000017,MCH_HEALTH,ORD_000017,"{'amount': '73908.50', 'merchant': 'Prana Health Online'}",REF_000017,orders.csv,orders:ORD_000017
55735.75,2026-01-05T11:38:00+00:00,INR,CUS_16743,2026-01-05T09:30:00+00:00,INV_000018,MCH_TRAVEL,ORD_000018,"{'amount': '55735.75', 'merchant': 'Vista Travel Desk'}",REF_000018,orders.csv,orders:ORD_000018
66807.00,2026-01-05T11:48:00+00:00,INR,CUS_30280,2026-01-05T09:30:00+00:00,INV_000019,MCH_HEALTH,ORD_000019,"{'amount': '66807.00', 'merchant': 'Prana Health Online'}",REF_000019,orders.csv,orders:ORD_000019
15358.00,2026-01-05T11:51:00+00:00,INR,CUS_85248,2026-01-05T09:30:00+00:00,INV_000020,MCH_CAFE,ORD_000020,"{'amount': '15358.00', 'merchant': 'Kaveri Coffee Roasters'}",REF_000020,orders.csv,orders:ORD_000020
23947.00,2026-01-05T11:59:00+00:00,INR,CUS_50499,2026-01-05T09:30:00+00:00,INV_000021,MCH_ZERO,ORD_000021,"{'amount': '23947.00', 'merchant': 'Zero Fee Internal Rail'}",REF_000021,orders.csv,orders:ORD_000021
52831.00,2026-01-05T12:09:00+00:00,INR,CUS_28595,2026-01-05T09:30:00+00:00,INV_000022,MCH_TRAVEL,ORD_000022,"{'amount': '52831.00', 'merchant': 'Vista Travel Desk'}",REF_000022,orders.csv,orders:ORD_000022
59760.00,2026-01-05T12:13:00+00:00,INR,CUS_30631,2026-01-05T09:30:00+00:00,INV_000023,MCH_SAAS,ORD_000023,"{'amount': '59760.00', 'merchant': 'Nila SaaS Systems'}",REF_000023,orders.csv,orders:ORD_000023
20692.00,2026-01-05T12:18:00+00:00,INR,CUS_90981,2026-01-05T09:30:00+00:00,INV_000024,MCH_ZERO,ORD_000024,"{'amount': '20692.00', 'merchant': 'Zero Fee Internal Rail'}",REF_000024,orders.csv,orders:ORD_000024
